,PLAYER_ID,LEAGUE_ID,ORGANIZATION_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,201942.0,00,0.0,35.0,35.0,33.4,5.5,10.5,0.523,0.2,1.0,0.167,2.7,4.2,0.646,2.4,3.3,5.7,1.5,0.9,0.4,2.1,2.1,13.9
0,203473.0,00,0.0,51.0,49.0,22.7,3.0,5.8,0.52,0.0,0.1,0.0,1.1,1.7,0.614,2.3,4.0,6.4,0.5,0.9,1.7,1.5,3.1,7.1
0,1626155.0,00,0.0,113.0,81.0,27.9,4.4,8.9,0.494,1.3,3.6,0.348,2.0,2.8,0.695,1.6,3.4,5.0,1.3,0.6,0.5,1.0,1.2,12.1
0,203521.0,00,0.0,136.0,133.0,36.4,4.3,10.5,0.415,2.1,5.6,0.378,3.4,4.0,0.86,0.8,2.6,3.4,5.6,1.1,0.1,2.5,1.9,14.2
0,2736.0,00,0.0,37.0,32.0,31.1,5.7,11.9,0.475,1.1,3.0,0.36,2.6,3.7,0.71,2.2,4.7,6.9,1.8,1.3,1.1,2.2,2.2,15.1
0,1627767.0,00,0.0,27.0,1.0,7.5,1.2,2.1,0.569,0.0,0.0,,0.6,1.0,0.556,0.6,1.9,2.5,0.0,0.3,0.9,0.6,1.4,3.0
0,203476.0,00,0.0,102.0,82.0,27.3,3.3,6.1,0.545,0.0,0.0,0.333,1.7,2.7,0.64,3.0,4.9,7.9,1.2,1.0,2.6,1.6,2.7,8.3
0,203915.0,00,0.0,86.0,86.0,30.1,3.4,8.0,0.42,1.3,3.5,0.386,4.9,5.9,0.83,0.5,2.9,3.3,2.6,1.1,0.3,1.8,2.1,13.0
0,1628416.0,00,0.0,75.0,75.0,30.0,4.6,10.0,0.455,2.1,5.0,0.416,2.9,3.9,0.732,1.1,2.8,3.9,1.8,0.8,0.1,1.7,1.8,14.1
0,1628422.0,00,0.0,97.0,97.0,29.6,5.0,10.5,0.473,2.0,5.1,0.395,1.6,1.9,0.822,1.4,4.2,5.6,1.2,0.7,0.2,1.1,1.8,13.5
0,1628408.0,00,0.0,70.0,70.0,24.0,4.0,10.1,0.398,0.7,2.7,0.277,1.6,2.8,0.579,0.9,3.0,3.9,2.4,1.3,0.3,2.4,2.6,10.4
0,203083.0,00,0.0,34.0,30.0,28.4,4.6,8.6,0.538,0.0,0.1,0.0,0.8,2.6,0.295,3.4,4.2,7.6,0.4,0.8,2.7,1.5,2.2,10.0
0,201162.0,00,0.0,130.0,130.0,36.4,5.3,10.5,0.504,0.9,2.5,0.365,4.4,6.0,0.731,2.9,4.3,7.2,3.0,1.4,0.3,2.1,1.9,15.9
0,1627739.0,00,0.0,95.0,82.0,31.6,4.5,9.9,0.45,0.8,2.2,0.354,3.1,4.5,0.693,1.1,4.0,5.1,5.8,2.2,0.4,3.3,2.9,12.8
0,201142.0,00,0.0,35.0,35.0,35.9,8.7,18.5,0.473,2.3,5.8,0.404,6.0,7.3,0.816,3.0,8.1,11.1,1.3,1.9,1.9,2.8,2.0,25.8
0,1627740.0,00,0.0,33.0,33.0,33.5,5.9,13.2,0.446,0.9,3.2,0.288,4.3,5.8,0.749,2.2,7.6,9.7,1.8,0.8,1.5,2.4,2.5,17.0
0,201961.0,00,0.0,115.0,112.0,28.5,5.4,11.6,0.463,2.0,5.0,0.397,2.0,2.5,0.809,1.1,3.0,4.1,2.2,0.9,0.1,1.5,1.5,14.7
0,203954.0,00,0.0,28.0,28.0,23.1,3.8,6.1,0.626,0.0,0.2,0.0,3.5,5.1,0.685,,,8.1,1.4,0.9,2.6,2.4,3.4,11.0
0,203898.0,00,0.0,34.0,34.0,35.7,4.4,10.6,0.411,0.9,2.5,0.353,3.4,4.4,0.765,0.8,2.6,3.4,5.5,2.1,0.2,1.7,2.0,12.9
0,203516.0,00,0.0,67.0,66.0,31.0,4.5,9.0,0.493,1.5,4.1,0.354,2.8,3.6,0.788,1.6,3.8,5.4,2.4,1.7,1.0,2.5,2.4,13.2
0,1628393.0,00,0.0,54.0,54.0,29.1,5.7,12.7,0.448,1.0,2.5,0.407,4.2,5.1,0.818,0.6,3.2,3.8,5.8,1.5,0.1,2.7,2.4,16.6
0,201936.0,00,0.0,37.0,35.0,29.0,6.2,13.6,0.455,0.9,3.4,0.274,3.7,5.2,0.711,1.3,4.1,5.4,3.9,2.1,0.8,3.6,2.4,17.1
0,202702.0,00,0.0,136.0,122.0,29.1,5.8,10.1,0.569,0.0,0.1,0.25,3.2,5.6,0.583,4.4,7.9,12.3,0.9,1.7,1.8,2.2,3.1,14.8
0,202324.0,00,0.0,36.0,35.0,27.5,5.0,8.1,0.611,0.0,0.0,0.0,2.5,4.0,0.629,3.0,5.4,8.4,1.0,0.9,2.1,2.5,2.6,12.4
0,1627770.0,00,0.0,101.0,101.0,35.9,5.5,12.9,0.426,1.4,4.1,0.345,5.1,6.2,0.822,0.7,3.7,4.3,7.8,1.6,0.2,3.5,2.8,17.5
0,101109.0,00,0.0,101.0,100.0,33.9,4.1,9.7,0.423,1.7,4.6,0.375,2.6,3.5,0.731,0.7,3.4,4.1,6.9,1.9,0.3,3.6,2.3,12.5
0,1627812.0,00,0.0,137.0,137.0,32.8,4.6,10.8,0.432,2.0,5.0,0.399,3.2,3.9,0.83,0.6,2.6,3.2,4.6,0.8,0.1,2.3,1.7,14.5
0,1627827.0,00,0.0,134.0,91.0,28.6,3.6,8.7,0.411,1.4,3.8,0.361,2.1,3.2,0.657,2.6,4.5,7.1,1.9,0.8,0.7,1.8,2.4,10.7
0,1628368.0,00,0.0,36.0,36.0,29.6,5.9,12.4,0.478,0.5,1.9,0.246,4.3,5.9,0.739,0.6,3.4,3.9,4.6,1.5,0.2,2.4,2.5,16.7
0,101112.0,00,0.0,133.0,119.0,27.7,5.3,9.5,0.562,0.0,0.2,0.261,2.8,3.7,0.759,2.8,4.6,7.3,1.3,0.6,1.9,1.4,2.8,13.5
0,1628365.0,00,0.0,25.0,25.0,35.7,8.4,17.6,0.476,2.1,5.0,0.413,4.4,6.7,0.649,1.3,4.4,5.7,5.9,1.6,1.2,3.2,2.5,23.2
0,204038.0,00,0.0,133.0,132.0,35.5,4.9,11.3,0.438,2.6,6.1,0.426,2.5,3.1,0.821,1.0,3.5,4.5,2.2,1.3,0.5,1.2,2.5,15.0
0,200752.0,00,0.0,64.0,59.0,29.8,5.0,10.8,0.461,0.9,2.3,0.378,2.8,3.8,0.721,1.9,4.0,5.9,1.8,1.3,1.7,2.2,2.3,13.6
0,202331.0,00,0.0,63.0,63.0,33.9,5.1,11.4,0.447,1.9,4.9,0.396,3.4,4.2,0.803,1.9,4.8,6.7,2.4,2.0,0.9,2.7,2.8,15.5
0,201959.0,00,0.0,105.0,104.0,32.7,4.8,8.2,0.58,0.0,0.0,,2.9,4.6,0.629,2.9,5.6,8.5,1.4,0.7,2.4,2.5,3.1,12.4
0,1628385.0,00,0.0,26.0,26.0,11.5,1.7,3.0,0.577,0.0,0.0,,0.5,0.9,0.5,1.6,2.3,3.8,0.3,0.3,0.7,0.7,2.2,3.9
0,203932.0,00,0.0,38.0,38.0,31.2,5.0,10.1,0.495,0.4,1.2,0.356,2.0,4.7,0.422,2.7,5.3,8.0,2.0,0.9,1.0,1.4,2.4,12.4
0,201569.0,00,0.0,32.0,32.0,34.7,5.8,13.3,0.433,2.2,6.5,0.337,7.2,8.7,0.834,0.7,2.5,3.3,2.4,1.3,0.6,3.6,2.2,20.9
0,1626203.0,00,0.0,140.0,102.0,25.4,4.4,10.2,0.432,1.4,4.0,0.354,3.2,4.6,0.691,2.1,3.6,5.7,1.4,0.8,0.2,1.4,2.1,13.4
0,203924.0,00,0.0,72.0,29.0,21.9,2.6,5.3,0.486,0.1,0.3,0.3,2.2,3.5,0.641,1.7,2.9,4.7,0.9,0.6,0.5,0.9,1.8,7.5
0,1626170.0,00,0.0,119.0,117.0,36.4,4.7,10.7,0.436,1.5,4.4,0.345,3.8,4.8,0.79,0.4,2.5,2.9,5.8,1.5,0.3,2.2,1.8,14.6
0,201980.0,00,0.0,145.0,39.0,19.9,3.4,7.4,0.455,1.3,3.4,0.375,1.4,1.6,0.845,1.4,2.7,4.1,1.8,1.1,1.1,1.4,1.9,9.4
0,203110.0,00,0.0,145.0,67.0,25.0,3.7,8.0,0.467,0.6,1.7,0.361,2.3,3.4,0.687,2.0,5.6,7.6,2.9,1.2,0.8,1.9,2.7,10.5
0,203210.0,00,0.0,123.0,114.0,27.2,5.0,9.6,0.519,0.0,0.1,0.176,3.5,4.9,0.711,3.0,4.4,7.4,1.2,1.0,1.7,2.5,3.2,13.5
0,201145.0,00,0.0,102.0,102.0,33.2,4.8,9.7,0.488,0.9,2.4,0.359,2.7,3.9,0.7,2.1,4.4,6.5,3.1,0.9,1.2,2.5,2.5,13.1
0,201933.0,00,0.0,68.0,63.0,30.9,7.1,11.5,0.618,0.0,0.1,0.3,4.5,7.7,0.589,3.6,8.3,11.8,2.1,1.1,1.0,2.8,2.5,18.8
0,203547.0,00,0.0,60.0,53.0,29.2,5.2,9.3,0.559,0.5,1.5,0.352,3.5,6.0,0.588,2.4,5.4,7.8,1.2,1.3,2.2,2.7,3.3,14.5
0,1627772.0,00,0.0,71.0,71.0,31.7,4.2,10.9,0.384,1.3,3.9,0.337,2.0,2.6,0.772,1.0,7.3,8.3,4.2,1.0,0.4,2.3,2.1,11.7
0,1627773.0,00,0.0,132.0,95.0,24.3,4.6,8.6,0.538,0.0,0.2,0.261,2.7,4.0,0.69,2.4,4.7,7.0,0.8,0.4,2.6,2.1,2.5,12.1
0,203501.0,00,0.0,107.0,107.0,33.3,4.9,11.6,0.425,1.9,5.5,0.343,2.6,3.6,0.724,0.6,3.5,4.1,2.1,0.7,0.3,1.7,2.0,14.3
