,PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1627763.0,00,0.0,86.0,37.0,27.3,4.1,8.9,0.464,1.2,2.8,0.421,1.5,1.7,0.86,0.6,2.3,2.8,4.2,1.1,0.2,1.5,2.0,10.9
0,201166.0,00,0.0,618.0,182.0,21.5,3.6,8.8,0.413,1.3,3.5,0.37,1.5,1.8,0.838,0.4,1.3,1.7,3.1,0.6,0.1,1.6,1.9,10.0
0,1628415.0,00,0.0,12.0,4.0,29.5,3.3,7.6,0.44,0.7,2.4,0.276,1.2,1.7,0.7,0.7,3.8,4.4,1.2,1.3,0.5,1.8,3.7,8.5
0,1626148.0,00,0.0,40.0,11.0,18.9,1.4,4.4,0.324,0.7,2.4,0.278,0.4,0.5,0.85,0.4,2.2,2.6,0.7,0.5,0.2,0.5,1.2,4.0
0,201628.0,00,0.0,146.0,2.0,11.3,1.8,4.7,0.383,0.6,2.0,0.323,0.3,0.4,0.817,0.2,0.5,0.7,1.5,0.3,0.0,0.8,1.0,4.6
0,1627759.0,00,0.0,91.0,33.0,19.3,2.8,6.3,0.447,0.7,2.1,0.351,1.3,2.0,0.661,0.7,2.8,3.5,0.8,0.5,0.2,1.0,1.9,7.7
0,203485.0,00,0.0,63.0,7.0,13.2,1.4,3.7,0.369,0.2,1.0,0.152,0.4,0.6,0.667,0.3,1.3,1.7,2.3,0.7,0.2,0.9,1.1,3.3
0,1628425.0,00,0.0,3.0,0.0,5.4,0.7,1.7,0.4,0.3,0.7,0.5,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.3,0.0,0.3,0.7,1.7
0,1627852.0,00,0.0,58.0,2.0,9.2,0.9,2.5,0.364,0.5,1.7,0.299,0.3,0.4,0.773,0.4,1.2,1.7,0.8,0.3,0.1,0.4,0.7,2.6
0,203493.0,00,0.0,154.0,9.0,11.4,1.1,2.9,0.388,0.6,1.7,0.345,0.2,0.3,0.773,0.3,1.3,1.6,0.5,0.3,0.1,0.3,0.6,3.0
0,202692.0,00,0.0,313.0,42.0,21.7,3.4,8.1,0.428,0.6,1.7,0.366,2.4,3.2,0.754,0.7,2.2,2.9,1.7,0.6,0.2,1.4,1.9,9.9
0,202710.0,00,0.0,409.0,304.0,32.4,5.0,11.3,0.447,0.8,2.5,0.337,4.6,5.6,0.829,1.4,3.4,4.8,3.2,1.5,0.4,1.4,1.4,15.6
0,202779.0,00,0.0,20.0,0.0,13.4,1.7,4.4,0.375,0.6,1.4,0.429,0.9,1.0,0.895,0.3,1.5,1.8,1.2,0.6,0.0,1.1,0.7,4.8
0,203998.0,00,0.0,25.0,1.0,4.5,0.4,1.7,0.262,0.2,0.7,0.278,0.0,0.0,0.0,0.3,0.3,0.6,0.2,0.2,0.1,0.4,0.4,1.1
0,101181.0,00,0.0,795.0,560.0,27.8,3.7,7.7,0.473,1.1,2.7,0.409,1.1,1.3,0.875,0.3,2.2,2.5,6.2,0.8,0.1,1.6,1.7,9.5
0,203484.0,00,0.0,325.0,285.0,30.4,4.3,10.5,0.405,1.5,4.6,0.332,1.6,2.0,0.783,0.7,2.4,3.1,1.6,1.2,0.2,1.0,1.9,11.7
0,203477.0,00,0.0,186.0,60.0,20.2,2.7,7.3,0.367,1.7,4.7,0.352,1.3,1.6,0.828,0.3,1.5,1.8,1.6,0.6,0.1,1.0,1.5,8.4
0,203991.0,00,0.0,167.0,107.0,20.6,4.1,6.5,0.621,0.0,0.0,0.0,1.2,2.7,0.454,2.6,4.6,7.2,0.8,0.6,1.2,1.0,2.5,9.3
0,201960.0,00,0.0,426.0,270.0,23.1,3.0,6.8,0.442,1.0,2.7,0.362,1.2,1.7,0.729,1.1,2.7,3.9,1.1,1.0,0.3,0.7,2.0,8.2
0,1713.0,00,0.0,1356.0,969.0,31.9,6.6,15.0,0.437,1.5,4.1,0.373,3.5,4.4,0.799,1.2,3.4,4.5,3.3,1.1,0.6,1.8,2.7,18.1
